Title,Views,Subs,link
"Girl With ANXIETY Is HUMILIATED, What Happens Is Shocking | Dhar Mann",9317621,9770000,https://www.youtube.com/watch?v=s3I7PC0Y10E
Girl With ANXIETY Is HUMILIATED (Behind-The-Scenes) | Dhar Mann Studios,820608,557000,https://www.youtube.com/watch?v=M9pAU1Vko90
Good advice for ranked anxiety,41959,3590,https://www.youtube.com/watch?v=-CWZ5DJczos
Dcop with tips for ranked anxiety,19621,2990,https://www.youtube.com/watch?v=f35oBwWoXl4
Watching this will give you anxiety,242489,128000,https://www.youtube.com/watch?v=ntjbHAgkEkg
Fixing our LS Swapped V8 Teslas range anxiety by installing a fuel cell,563998,1150000,https://www.youtube.com/watch?v=wPGolithIbo
Giving Genshin Impact Players Pain / Anxiety #1,67809,13700,https://www.youtube.com/watch?v=Bz-X5ImASFc
anxiety machine #shorts,29878,3370,https://www.youtube.com/watch?v=0RjrD9WgQ5g
EPEX 1st EP Album ‘Bipolar Pt.1 Prelude of Anxiety’ ALBUM PREVIEW,298544,1000000,https://www.youtube.com/watch?v=zOBh0hC8vNs
most anxiety video,193488,214000,https://www.youtube.com/watch?v=zwlp69SxgOs
~ Teen wolf AU react! ~ Gacha club part 1((TW anxiety?)),16315,2100,https://www.youtube.com/watch?v=wTG7wYUT0j0
GREAT NEWS! Tesla JUST SOLVED The Biggest Electric Vehicle Anxiety in China!,29148,26300,https://www.youtube.com/watch?v=CbvpQJHoaow
Oliver Dam - Sad times 💢 MUSIC FOR ANXIETY 💢 SONG FOR GREATE TIME,66319,139000,https://www.youtube.com/watch?v=kykwSjP6fTA
Depression और Anxiety खतम कैसे करें ? | Fit Tuber Hindi,192684,1840000,https://www.youtube.com/watch?v=j_YNthEkwNU
8 Blocks of Ader Gym Chalk Crumbles ~Anxiety &amp; Stress Relief,14433,7670,https://www.youtube.com/watch?v=djI1tTj1Mr8
"social anxiety crippled me , until I did this",34736,362000,https://www.youtube.com/watch?v=vGs3WXvpF4g
"Fidget Toy Tiktok Compilation (New, Anti-Anxiety) #34",19842,31000,https://www.youtube.com/watch?v=EQBwq_d9SJU
ASMR Whispers of Love 💕 to Help with Anxiety (EN/FR),18928,52000,https://www.youtube.com/watch?v=uSLMnZxsOkE
4K ASMR ~ Complete Negativity Removal (Anxiety Fear Stress Worry) with Sleep Tingles,22675,35600,https://www.youtube.com/watch?v=CfnASGQ0DVA
Sleep Hypnosis for Clearing Subconscious Anxiety - Ultra Deep Mind Calm,99846,1460000,https://www.youtube.com/watch?v=hCWzJ_Tk8io
2 Levels: How to Handle Anxiety(चिंता). Mindfulness,34406,869000,https://www.youtube.com/watch?v=wW7W9TLOvX4
4k Colorful coral reef | Reduce Stress and Anxiety Aquarium to sleep 10 Hours,20312,40000,https://www.youtube.com/watch?v=FQe3P0yguwU
Kendall Jenner Breaks Down How Anxiety Affects Her Plans | Open Minded | Session 4 | Vogue,286228,9650000,https://www.youtube.com/watch?v=k0G2BjP_gOA
Karen Harmon: Anxiety is Led by the Enemy | Better Together TV,24923,89100,https://www.youtube.com/watch?v=x3UEIoeD9Uc
How to Solve Separation Anxiety! (Dog Nation Shorts!),61004,1710000,https://www.youtube.com/watch?v=A_MIigPZXU4
How I Overcame Anxiety and Guilt | Life Advice with Justin Kan,21621,109000,https://www.youtube.com/watch?v=QRjALORjHR0
*Opening up about my anxiety and depression* 9 months pregnant vlog!,20131,117000,https://www.youtube.com/watch?v=Mq-3SDcZq0M
Social Anxiety Forces Tennis Star Naomi Osaka Out Of Tournament,24428,431000,https://www.youtube.com/watch?v=XMXTf0UxqsM
Exercises for Migraine | Increases Blood Circulation | Stress and Anxiety | Dr. Tejaswini Mangona,59508,1000000,https://www.youtube.com/watch?v=Cu9dFZ1L3Lc
MUSTAFA ALPAR - Secrets 💢 MUSIC FOR ANXIETY 💢 MUSIC FOR GOOD VIBE,17355,139000,https://www.youtube.com/watch?v=HFkyyPGJP8I
Brutal [] Miku Angst [] TW Implied anxiety and depression [] Re-upload ;-; [],20401,1000000,https://www.youtube.com/watch?v=t0AAHJtqznI
&#39;Anxiety 2&#39; - Hip Hop Underground Instrumental | Old School Boom Bap Type Beat | Base De Rap,18662,95300,https://www.youtube.com/watch?v=UgajfxaIw64
"opening up about my postpartum anxiety, mental health and divorce",59996,1580000,https://www.youtube.com/watch?v=KOmpNSTWnoY
"Pet loss and social anxiety, spring closet clean out and farmers market vlog",30170,441000,https://www.youtube.com/watch?v=sORMs4AZlKg
"Anxiety, Chest Tightness, Difficulty Breathing and Acid Reflux HELPED! Dr. Rahim Chiropractic",27748,1010000,https://www.youtube.com/watch?v=T4-9iImuLkk
What does the BIBLE say about DEPRESSION &amp; ANXIETY?,26943,547000,https://www.youtube.com/watch?v=vLWVpHcwwkc
6 Tips To Overcome Social Anxiety (Affects Our Everyday Life),87085,5810000,https://www.youtube.com/watch?v=X_ZKkvhXNJk
My anxiety gets me good...#shorts | Sam Cushing,18772,183000,https://www.youtube.com/watch?v=vV7yok0DHWs
How to Overcome Exam Anxiety | BBM Session #9 by Dr. Harish Sharma,15028,1060000,https://www.youtube.com/watch?v=9zN-6iP6zeM
Yog Pranayam से Brain Face को Oxygen रहें सदा जवान। Stress Anxiety Depression दूर Yog Guru Dheeraj,29295,830000,https://www.youtube.com/watch?v=9-aGn8g2zU8
"Anxiety Cleanse ✤ Let Go Of The Past ✤ Release Negativity, Fear and Stress",25356,787000,https://www.youtube.com/watch?v=3lg0_3a87WM
How to Stop Anxiety stress and worry। Why You are worry। Great lesson in Odia।,21590,433000,https://www.youtube.com/watch?v=puYEFRbvm4o
Deal with depression &amp; Anxiety | Best motivational thoughts | Inspiring speech &amp; Thoughts,24642,1530000,https://www.youtube.com/watch?v=wbtJ0ZyxlO4
DOG MUSIC! Soothing ASMR to Help Your Dog Sleep! No More Anxiety!,26321,685000,https://www.youtube.com/watch?v=3gmHBtby_Tg
What a Kitten with Separation Anxiety Do to Owner,19805,606000,https://www.youtube.com/watch?v=VmEJmGNzvUs
"Soothing Stress Relief Music With Beautiful Nature 🍀 Stop Anxiety, Depression &amp; Bad Vibes",22506,1000000,https://www.youtube.com/watch?v=K-YK1HbN2iE
Hugh Jackman Supports Ryan Reynolds After Emotional Post About Anxiety!,17712,1000000,https://www.youtube.com/watch?v=MRU0Oh2ck0Q
TIKTOK POV &quot;What Anxiety Looks Like&quot; VIRAL COMPILATION ELIANA GHEN,15922,647000,https://www.youtube.com/watch?v=unqj2Ndm0E4
CLEAN HOUSE WITH DEPRESSION AND ANXIETY REAL LIFE MESSY HOUSE SPRING CLEANING  CLEAN WITH DEPRESSION,14285,1000000,https://www.youtube.com/watch?v=ZW3CUA72KMA
Social anxiety | Homeopathic Medicine | Symptoms | सामाजिक डर | लोगों से बात करते समय डर लगना |,21617,2280000,https://www.youtube.com/watch?v=hdCX8Z5zW7M
